Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,pH_Status,Moisture_Status,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,Organic_1,Organic_2,Organic_3,pH_Amendment,Moisture_Action,Model_Prediction
23.24,94.09,63.79,Clayey,Sugarcane,112,32,40,6.29,Optimal,Optimal,Excess,Deficient,Optimal,SSP,MOP,Bone meal,FYM,Wood ash,Maintain pH,Maintain moisture,SSP
24.66,79.31,57.77,Loamy,Soybean,105,23,51,6.53,Optimal,Optimal,Excess,Deficient,Optimal,DAP,SSP,Bone meal,Wood ash,Rock phosphate,Maintain pH,Maintain moisture,DAP
20.65,43.95,21.47,Sandy,Millets,96,20,157,6.45,Optimal,Deficient,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,Banana peel powder,Green leaf manure,Maintain pH,Light irrigation,SSP
29.76,51.12,59.97,Loamy,Maize,86,83,7,6.78,Optimal,Optimal,Optimal,Optimal,Deficient,SOP,DAP,Banana stem compost,Banana stem compost,FYM,Maintain pH,Maintain moisture,SOP
28.14,81.56,52.22,Loamy,Millets,85,48,157,6.12,Optimal,Optimal,Optimal,Optimal,Excess,DAP,MOP,Banana peel powder,Banana peel powder,FYM,Maintain pH,Maintain moisture,DAP
20.01,57.33,50.69,Loamy,Coffee,99,71,37,7.12,Optimal,Optimal,Optimal,Optimal,Deficient,SOP,DAP,Banana stem compost,FYM,Rock phosphate,Maintain pH,Maintain moisture,SOP
24.55,58.3,24.5,Clayey,Sugarcane,27,78,6,6.24,Optimal,Deficient,Deficient,Optimal,Deficient,CAN,MOP,Green manure,Wood ash,Wood ash,Maintain pH,Continuous irrigation,CAN
28.82,64.36,43.79,Clayey,Groundnut,97,25,103,5.7,Acidic,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Rock phosphate,Banana compost,Lime,Maintain moisture,SSP
25.37,80.04,34.44,Loamy,Soybean,37,15,169,7.05,Optimal,Optimal,Deficient,Deficient,Excess,DAP starter,DAP,Vermicompost,Bone meal,Rock phosphate,Maintain pH,Maintain moisture,DAP starter
10.65,62.62,68.02,Clayey,Wheat,53,48,87,6.59,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SSP,Banana peel manure,Vermicompost,Wood ash,Maintain pH,Maintain moisture,DAP
23.5,59.29,35.04,Sandy,Rice,53,99,173,7.95,Alkaline,Optimal,Optimal,Excess,Excess,DAP,MOP,Azolla,FYM,Azolla,Gypsum,Maintain moisture,DAP
26.29,67.75,18.36,Loamy,Sugarcane,70,85,22,6.22,Optimal,Deficient,Optimal,Optimal,Deficient,SOP,SSP,Wood ash,Wood ash,Banana trash compost,Maintain pH,Continuous irrigation,SOP
31.75,49.87,77.13,Clayey,Cotton,115,85,125,6.47,Optimal,Excess,Excess,Optimal,Excess,DAP,MOP,Ash,Ash,Ash,Maintain pH,Drainage,DAP
28.65,38.48,66.94,Loamy,Pulses,56,10,123,6.66,Optimal,Optimal,Optimal,Deficient,Excess,DAP,SSP,Rock phosphate,Rhizobium inoculation,Banana waste,Maintain pH,Maintain moisture,DAP
20.16,90.29,69.69,Loamy,Groundnut,88,33,74,6.33,Optimal,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Neem cake,FYM,Maintain pH,Maintain moisture,SSP
30.82,87.85,44.75,Clayey,Maize,24,67,50,6.24,Optimal,Optimal,Deficient,Optimal,Optimal,CAN,SOP,FYM,Wood ash,Green manure,Maintain pH,Maintain moisture,CAN
18.93,61.82,23.51,Loamy,Coffee,87,63,169,6.38,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SSP,Bone meal,Rock phosphate,Bone meal,Maintain pH,Irrigation,DAP
30.01,55.18,76.16,Clayey,Rice,112,8,61,6.64,Optimal,Excess,Excess,Deficient,Optimal,TSP,SSP,Bone meal,Bone meal,Rock phosphate,Maintain pH,Drainage,TSP
25.95,57.18,42.27,Clayey,Coffee,107,65,127,6.57,Optimal,Optimal,Excess,Optimal,Excess,DAP,SSP,Bone meal,FYM,Wood ash,Maintain pH,Maintain moisture,DAP
20.69,66.28,76.19,Loamy,Coffee,40,67,144,6.49,Optimal,Excess,Optimal,Optimal,Excess,DAP,SSP,Compost,Wood ash,Oilseed cakes,Maintain pH,Drainage,DAP
32.53,57.03,58.36,Loamy,Maize,8,32,108,7.04,Optimal,Optimal,Deficient,Deficient,Optimal,Urea,SSP,FYM,PSB,PSB,Maintain pH,Maintain moisture,Urea
23.89,38.1,52.7,Clayey,Tea,104,47,60,6.41,Optimal,Optimal,Excess,Optimal,Optimal,DAP,SSP,Banana peel compost,Wood ash,Mustard cake,Maintain pH,Maintain moisture,DAP
14.21,85.26,21.59,Loamy,Tea,59,74,108,6.94,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Rock phosphate,Banana peel compost,Rock phosphate,Maintain pH,Irrigation,DAP
16.31,45.2,49.29,Clayey,Wheat,11,75,79,6.67,Optimal,Optimal,Deficient,Optimal,Optimal,CAN,SOP,Mustard cake,Poultry manure,Mustard cake,Maintain pH,Maintain moisture,CAN
23.46,93.91,52.04,Clayey,Soybean,85,92,107,6.66,Optimal,Optimal,Optimal,Excess,Optimal,DAP,SSP,Wood ash,Rock phosphate,Rock phosphate,Maintain pH,Maintain moisture,DAP
21.94,40.04,84.82,Sandy,Tea,18,3,40,6.8,Optimal,Excess,Deficient,Deficient,Optimal,Urea,Rock Phosphate,FYM,Poultry manure,Neem cake,Maintain pH,Drainage,Urea
35.66,39.58,26.97,Clayey,Sugarcane,108,12,13,7.53,Alkaline,Deficient,Excess,Deficient,Deficient,SOP,SSP,Bone meal,Banana trash compost,Press mud compost,Gypsum,Continuous irrigation,SOP
32.46,43.52,60.68,Loamy,Maize,116,40,37,6.39,Optimal,Optimal,Excess,Optimal,Deficient,SOP,SSP,Wood ash,PSB,Wood ash,Maintain pH,Maintain moisture,SOP
15.93,76.59,68.93,Loamy,Tea,105,46,164,6.4,Optimal,Optimal,Excess,Optimal,Excess,DAP,SOP,Neem cake,Poultry manure,Mustard cake,Maintain pH,Maintain moisture,DAP
25.51,39.29,21.29,Loamy,Coffee,64,80,146,6.25,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SOP,Compost,Compost,Wood ash,Maintain pH,Irrigation,DAP
29.41,44.22,25.44,Sandy,Pulses,10,46,163,6.51,Optimal,Deficient,Deficient,Optimal,Excess,Starter DAP,MOP,Compost,Poultry manure,Rhizobium inoculation,Maintain pH,Irrigation,Starter DAP
24.61,79.29,35.65,Loamy,Millets,10,72,158,6.79,Optimal,Optimal,Deficient,Optimal,Excess,Urea (small doses),MOP,Green leaf manure,Rock phosphate,Wood ash,Maintain pH,Maintain moisture,Urea (small doses)
28.62,42.73,19.41,Loamy,Groundnut,23,55,160,7.16,Optimal,Deficient,Deficient,Optimal,Excess,Ammonium Sulphate,MOP,FYM,Wood ash,FYM,Maintain pH,Irrigation,Ammonium Sulphate
20.4,62.69,82.04,Loamy,Coffee,16,56,118,6.88,Optimal,Excess,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Oilseed cakes,Wood ash,Oilseed cakes,Maintain pH,Drainage,Ammonium Sulphate
33.22,56.25,32.61,Loamy,Cotton,107,61,178,6.36,Optimal,Optimal,Excess,Optimal,Excess,DAP,MOP,Ash,Rock phosphate,Ash,Maintain pH,Maintain moisture,DAP
19.23,39.51,17.97,Loamy,Coffee,37,36,44,6.46,Optimal,Deficient,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,FYM,Oilseed cakes,Wood ash,Maintain pH,Irrigation,Ammonium Sulphate
20.26,73.03,37.93,Clayey,Pulses,102,2,121,5.92,Acidic,Optimal,Excess,Deficient,Excess,DAP,SSP,Poultry manure,Rhizobium inoculation,Banana waste,Lime,Maintain moisture,DAP
18.14,92.16,16.48,Clayey,Soybean,113,30,177,7.0,Optimal,Deficient,Excess,Deficient,Excess,SSP,MOP,Bone meal,Rhizobium inoculation,Vermicompost,Maintain pH,Irrigation,SSP
22.01,64.09,23.29,Clayey,Rice,30,6,61,5.95,Acidic,Deficient,Deficient,Deficient,Optimal,CAN,SSP,FYM,Bone meal,Banana pseudostem compost,Lime,Irrigation,CAN
30.16,66.09,71.48,Loamy,Millets,108,5,146,7.73,Alkaline,Excess,Excess,Deficient,Excess,SSP,MOP,Rock phosphate,Wood ash,Rock phosphate,DAP,Drainage,SSP
33.12,83.31,28.68,Clayey,Millets,87,1,102,6.71,Optimal,Deficient,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Green leaf manure,FYM,Maintain pH,Light irrigation,SSP
30.85,77.32,45.88,Loamy,Groundnut,27,83,116,6.7,Optimal,Optimal,Deficient,Optimal,Optimal,Ammonium Sulphate,MOP,FYM,Rock phosphate,Banana compost,Maintain pH,Maintain moisture,Ammonium Sulphate
25.85,89.93,42.52,Clayey,Maize,99,65,171,5.59,Acidic,Optimal,Optimal,Optimal,Excess,DAP,SOP,Wood ash,Green manure,FYM,Lime,Maintain moisture,DAP
18.26,68.75,49.98,Clayey,Coffee,66,85,51,6.71,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SSP,Oilseed cakes,Compost,Rock phosphate,Maintain pH,Maintain moisture,DAP
23.35,52.94,82.44,Clayey,Pulses,26,60,22,7.27,Optimal,Excess,Deficient,Optimal,Deficient,Starter DAP,MOP,Compost,Banana waste,Rhizobium inoculation,Maintain pH,Avoid waterlogging,Starter DAP
21.48,89.05,23.11,Sandy,Groundnut,52,72,79,7.22,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Banana compost,Neem cake,Wood ash,Maintain pH,Irrigation,DAP
22.68,91.12,51.36,Loamy,Tea,19,85,101,7.28,Optimal,Optimal,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Neem cake,Wood ash,Mustard cake,Maintain pH,Maintain moisture,Ammonium Sulphate
26.76,83.27,66.09,Clayey,Soybean,69,89,100,6.6,Optimal,Optimal,Optimal,Excess,Optimal,DAP,SSP,Rock phosphate,Wood ash,Rhizobium inoculation,Maintain pH,Maintain moisture,DAP
30.45,93.07,40.59,Clayey,Maize,68,78,86,6.72,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,MOP,Green manure,FYM,Green manure,Maintain pH,Maintain moisture,DAP
31.32,53.36,24.53,Clayey,Cotton,87,58,110,5.51,Acidic,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Ash,Oil cakes,Banana peel compost,Lime,Irrigation,DAP
21.74,51.16,16.91,Clayey,Millets,60,28,54,6.37,Optimal,Deficient,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Banana peel powder,Green leaf manure,Maintain pH,Light irrigation,SSP
24.14,63.3,25.69,Loamy,Soybean,85,64,0,7.05,Optimal,Deficient,Optimal,Optimal,Deficient,MOP,SSP,Wood ash,Rock phosphate,Wood ash,Maintain pH,Irrigation,MOP
34.1,59.96,42.41,Loamy,Cotton,84,72,132,6.19,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SSP,FYM,FYM,Oil cakes,Maintain pH,Maintain moisture,DAP
19.32,72.08,56.36,Loamy,Soybean,53,61,179,6.51,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SSP,Banana peel compost,Rock phosphate,Banana peel compost,Maintain pH,Maintain moisture,DAP
34.45,52.9,40.83,Loamy,Cotton,77,88,154,6.83,Optimal,Optimal,Optimal,Excess,Excess,DAP,SSP,FYM,Ash,FYM,Maintain pH,Maintain moisture,DAP
17.58,47.56,15.72,Loamy,Wheat,12,39,80,6.72,Optimal,Deficient,Deficient,Optimal,Optimal,Urea,SOP,Vermicompost,Wood ash,Poultry manure,Maintain pH,Irrigation (CRI/booting/grain filling),Urea
21.11,40.31,20.86,Loamy,Millets,82,10,71,6.61,Optimal,Deficient,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Wood ash,Rock phosphate,Maintain pH,Light irrigation,SSP
26.0,83.59,64.8,Loamy,Wheat,11,73,167,7.26,Optimal,Optimal,Deficient,Optimal,Excess,Urea,SOP,Vermicompost,Vermicompost,Rock phosphate,Maintain pH,Maintain moisture,Urea
28.45,86.6,19.94,Loamy,Cotton,25,62,50,7.1,Optimal,Deficient,Deficient,Optimal,Optimal,Urea,SOP,Vermicompost,Oil cakes,Ash,Maintain pH,Irrigation,Urea
21.18,80.39,79.37,Sandy,Millets,82,96,131,7.87,Alkaline,Excess,Optimal,Excess,Excess,DAP,SSP,Green leaf manure,Green leaf manure,Banana peel powder,DAP,Drainage,DAP
19.51,38.82,33.61,Clayey,Soybean,36,25,104,6.44,Optimal,Optimal,Deficient,Deficient,Optimal,DAP starter,DAP,Vermicompost,Rock phosphate,Rhizobium inoculation,Maintain pH,Maintain moisture,DAP starter
21.42,70.05,76.34,Sandy,Pulses,95,22,169,7.44,Optimal,Excess,Optimal,Deficient,Excess,DAP,SSP,Poultry manure,FYM,Banana waste,Maintain pH,Avoid waterlogging,DAP
34.32,52.53,33.6,Loamy,Rice,55,26,165,7.03,Optimal,Optimal,Optimal,Deficient,Excess,DAP,SSP,Rock phosphate,Vermicompost,FYM,Maintain pH,Maintain moisture,DAP
21.0,75.88,37.64,Clayey,Maize,5,65,130,6.41,Optimal,Optimal,Deficient,Optimal,Excess,CAN,SOP,FYM,Wood ash,Green manure,Maintain pH,Maintain moisture,CAN
31.72,75.9,19.09,Clayey,Millets,94,56,12,5.62,Acidic,Deficient,Optimal,Optimal,Deficient,MOP,SSP,Wood ash,Banana peel powder,Rock phosphate,Lime,Light irrigation,MOP
28.35,68.88,28.0,Loamy,Cotton,21,47,98,6.56,Optimal,Deficient,Deficient,Optimal,Optimal,Ammonium Sulphate,MOP,Vermicompost,Poultry manure,Poultry manure,Maintain pH,Irrigation,Ammonium Sulphate
22.18,40.44,18.17,Loamy,Tea,78,47,58,7.59,Alkaline,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Wood ash,Wood ash,Mustard cake,Sulphur,Irrigation,DAP
25.74,64.32,30.21,Loamy,Maize,88,92,19,6.72,Optimal,Optimal,Optimal,Excess,Deficient,MOP,SSP,Banana stem compost,Wood ash,Rock phosphate,Maintain pH,Maintain moisture,MOP
26.44,69.1,83.77,Loamy,Millets,63,9,107,6.38,Optimal,Excess,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,FYM,Green leaf manure,Maintain pH,Drainage,SSP
25.87,36.61,50.99,Sandy,Maize,102,91,124,6.84,Optimal,Optimal,Excess,Excess,Excess,DAP,SSP,PSB,Green manure,FYM,Maintain pH,Maintain moisture,DAP
16.95,40.01,76.1,Clayey,Tea,87,2,169,5.73,Acidic,Excess,Optimal,Deficient,Excess,Rock Phosphate,SSP,Rock phosphate,Mustard cake,Vermicompost,(Prefers acidic),Drainage,Rock Phosphate
30.45,50.21,44.06,Loamy,Maize,5,56,145,6.69,Optimal,Optimal,Deficient,Optimal,Excess,CAN,MOP,FYM,FYM,Green manure,Maintain pH,Maintain moisture,CAN
26.08,54.75,32.63,Sandy,Sugarcane,103,21,1,6.96,Optimal,Optimal,Excess,Deficient,Deficient,SOP,SSP,Bone meal,Wood ash,Green manure,Maintain pH,Maintain moisture,SOP
23.82,50.61,34.1,Loamy,Wheat,113,35,104,6.44,Optimal,Optimal,Excess,Optimal,Optimal,DAP,SOP,Banana peel manure,Mustard cake,Mustard cake,Maintain pH,Maintain moisture,DAP
23.69,59.59,77.22,Sandy,Sugarcane,47,23,77,6.94,Optimal,Excess,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Rock phosphate,Rock phosphate,Maintain pH,Drainage,SSP
14.71,74.61,60.78,Loamy,Tea,113,95,61,6.85,Optimal,Optimal,Excess,Excess,Optimal,DAP,SOP,Poultry manure,Mustard cake,Vermicompost,Maintain pH,Maintain moisture,DAP
29.08,67.69,71.1,Loamy,Soybean,15,26,92,6.38,Optimal,Excess,Deficient,Deficient,Optimal,DAP starter,SSP,Rhizobium inoculation,Rock phosphate,Wood ash,Maintain pH,Drainage,DAP starter
20.21,74.08,37.13,Loamy,Groundnut,62,58,18,7.3,Optimal,Optimal,Optimal,Optimal,Deficient,MOP,SSP,Banana compost,FYM,Rock phosphate,Maintain pH,Maintain moisture,MOP
21.5,35.57,76.76,Loamy,Maize,84,77,19,7.27,Optimal,Excess,Optimal,Optimal,Deficient,MOP,DAP,Wood ash,Rock phosphate,Rock phosphate,Maintain pH,Drainage,MOP
25.25,93.94,53.2,Sandy,Rice,76,0,170,7.24,Optimal,Optimal,Optimal,Deficient,Excess,TSP,SSP,PSB,FYM,Azolla,Maintain pH,Maintain moisture,TSP
28.4,65.48,38.49,Clayey,Sugarcane,16,29,66,5.81,Acidic,Optimal,Deficient,Deficient,Optimal,Urea,SSP,Green manure,Rock phosphate,Press mud compost,Lime,Maintain moisture,Urea
20.64,63.21,26.46,Sandy,Tea,104,33,52,7.69,Alkaline,Deficient,Excess,Deficient,Optimal,Rock Phosphate,SSP,Poultry manure,Mustard cake,Rock phosphate,Sulphur,Irrigation,Rock Phosphate
23.95,38.3,21.64,Loamy,Maize,54,50,51,6.51,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SOP,PSB,Banana stem compost,Banana stem compost,Maintain pH,Irrigation,DAP
22.85,72.26,74.86,Clayey,Rice,51,84,163,5.16,Acidic,Excess,Optimal,Optimal,Excess,DAP,MOP,Banana pseudostem compost,Banana pseudostem compost,Azolla,Lime,Drainage,DAP
31.19,42.9,26.87,Loamy,Millets,39,33,96,6.4,Optimal,Deficient,Deficient,Deficient,Optimal,Urea (small doses),SSP,FYM,Rock phosphate,Wood ash,Maintain pH,Light irrigation,Urea (small doses)
29.84,70.29,22.45,Loamy,Maize,118,16,51,6.24,Optimal,Deficient,Excess,Deficient,Optimal,DAP,SSP,Rock phosphate,Green manure,Green manure,Maintain pH,Irrigation,DAP
19.52,84.94,39.81,Loamy,Wheat,95,47,156,6.11,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SSP,Rock phosphate,Banana peel manure,Mustard cake,Maintain pH,Maintain moisture,DAP
15.78,87.03,37.92,Loamy,Tea,113,85,79,6.6,Optimal,Optimal,Excess,Optimal,Optimal,DAP,SSP,Banana peel compost,Mustard cake,Wood ash,Maintain pH,Maintain moisture,DAP
35.96,52.0,19.15,Clayey,Cotton,1,69,156,7.22,Optimal,Deficient,Deficient,Optimal,Excess,Ammonium Sulphate,MOP,FYM,Banana peel compost,Vermicompost,Maintain pH,Irrigation,Ammonium Sulphate
28.54,46.44,84.83,Sandy,Pulses,95,18,26,6.78,Optimal,Excess,Optimal,Deficient,Deficient,MOP,SSP,Poultry manure,Wood ash,Compost,Maintain pH,Avoid waterlogging,MOP
27.32,58.32,33.27,Clayey,Soybean,40,3,139,6.47,Optimal,Optimal,Optimal,Deficient,Excess,SSP,MOP,Bone meal,Bone meal,FYM,Maintain pH,Maintain moisture,SSP
26.95,35.63,43.71,Clayey,Maize,68,95,14,5.96,Acidic,Optimal,Optimal,Excess,Deficient,MOP,DAP,Wood ash,Banana stem compost,FYM,Lime,Maintain moisture,MOP
29.19,59.73,47.06,Sandy,Millets,99,14,110,6.94,Optimal,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,FYM,Green leaf manure,Maintain pH,Maintain moisture,SSP
24.28,63.23,43.17,Loamy,Groundnut,16,4,130,6.34,Optimal,Optimal,Deficient,Deficient,Excess,Light Urea,SSP,FYM,Rock phosphate,Wood ash,Maintain pH,Maintain moisture,Light Urea
23.83,72.31,70.58,Clayey,Wheat,64,44,165,6.46,Optimal,Excess,Optimal,Optimal,Excess,DAP,MOP,Poultry manure,Rock phosphate,Vermicompost,Maintain pH,Drainage,DAP
29.19,64.35,42.34,Clayey,Rice,38,82,149,6.38,Optimal,Optimal,Deficient,Optimal,Excess,Urea,SOP,Vermicompost,Vermicompost,Banana pseudostem compost,Maintain pH,Maintain moisture,Urea
20.31,52.43,83.45,Sandy,Sugarcane,10,43,127,6.94,Optimal,Excess,Deficient,Optimal,Excess,Urea,MOP,Press mud compost,FYM,Press mud compost,Maintain pH,Drainage,Urea
11.75,62.05,49.21,Loamy,Wheat,80,82,131,6.6,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SSP,Poultry manure,Vermicompost,Wood ash,Maintain pH,Maintain moisture,DAP
17.46,76.69,40.99,Sandy,Coffee,89,54,122,6.73,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SOP,Oilseed cakes,Bone meal,Oilseed cakes,Maintain pH,Maintain moisture,DAP
33.17,66.57,64.54,Sandy,Cotton,109,54,119,6.76,Optimal,Optimal,Excess,Optimal,Optimal,DAP,SSP,Rock phosphate,FYM,Vermicompost,Maintain pH,Maintain moisture,DAP
24.82,84.96,36.01,Loamy,Soybean,63,4,139,6.96,Optimal,Optimal,Optimal,Deficient,Excess,SSP,MOP,Bone meal,Banana peel compost,Bone meal,Maintain pH,Maintain moisture,SSP
23.59,57.77,19.16,Clayey,Coffee,71,46,3,6.63,Optimal,Deficient,Optimal,Optimal,Deficient,SOP,SSP,Wood ash,Wood ash,FYM,Maintain pH,Irrigation,SOP
33.32,43.04,17.98,Clayey,Rice,39,65,40,6.33,Optimal,Deficient,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Azolla,Wood ash,Bone meal,Maintain pH,Irrigation,Ammonium Sulphate
26.78,44.63,24.79,Clayey,Cotton,43,38,0,6.44,Optimal,Deficient,Optimal,Optimal,Deficient,SOP,SSP,Banana peel compost,Poultry manure,FYM,Maintain pH,Irrigation,SOP
22.21,47.0,55.37,Clayey,Tea,21,53,60,5.87,Acidic,Optimal,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Neem cake,Vermicompost,Neem cake,(Prefers acidic),Maintain moisture,Ammonium Sulphate
30.39,84.05,28.84,Sandy,Sugarcane,41,74,36,7.41,Optimal,Deficient,Optimal,Optimal,Deficient,SOP,SSP,Banana trash compost,Rock phosphate,Green manure,Maintain pH,Continuous irrigation,SOP
29.75,55.73,61.45,Loamy,Rice,33,5,95,6.73,Optimal,Optimal,Deficient,Deficient,Optimal,CAN,DAP,FYM,Bone meal,Bone meal,Maintain pH,Maintain moisture,CAN
28.5,90.82,50.69,Loamy,Pulses,102,30,103,6.7,Optimal,Optimal,Excess,Deficient,Optimal,DAP,SSP,Rock phosphate,Rhizobium inoculation,Rhizobium inoculation,Maintain pH,Maintain moisture,DAP
28.94,46.6,79.73,Sandy,Rice,115,20,117,7.29,Optimal,Excess,Excess,Deficient,Optimal,TSP,SSP,PSB,Wood ash,Banana pseudostem compost,Maintain pH,Drainage,TSP
25.98,68.88,49.36,Loamy,Pulses,23,35,167,6.96,Optimal,Optimal,Deficient,Optimal,Excess,Starter DAP,MOP,Rhizobium inoculation,Banana waste,Rock phosphate,Maintain pH,Maintain moisture,Starter DAP
